ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
STORM_CECIL_1985,Cecil,1985,10,Storm,Tropical cyclone,4,1,0,0,0,0,166,969,798,257,65000,176844.44,36.75546794
STORM_ANDY_1985,Andy,1985,10,Storm,Tropical cyclone,4,1,0,,,,111,990,46,,,,36.75546794
STORM_DOT_1985,Dot,1985,10,Storm,Tropical depression,4,1,0,,,,70,1000,0,0,,,36.75546794
STORM_WAYNE_1986,Wayne,1986,9,Storm,Tropical cyclone,4,1,0,0,0,0,111,965,435,2502,150000,400500.77,37.45311166
STORM_CARY_1987,Cary,1987,8,Storm,Tropical cyclone,4,1,1,,,,111,960,20,,30000,77268.6,38.82560081
STORM_MAURY_1987,Maury,1987,11,Storm,Tropical cyclone,6,1,0,0,0,0,55,994,101,211,20000,51512.4,38.82560081
STORM_TESS_1985,Tess,1987,11,Storm,Tropical cyclone,7,1,1,,,,45,980,37,,11000,28331.82,38.82560081
STORM_PAT_1987,Pat,1987,10,Storm,Tropical cyclone,3,1,1,,,,70,980,90,,20000,51512.4,38.82560081
STORM_NAN_1988,,1988,10,Storm,Tropical cyclone,4,0,0,0,0,0,,,137,,,,40.40880605
STORM_NAN_1988_2,,1988,11,Storm,Tropical cyclone,7,0,0,0,0,0,,,20,,,,40.40880605
STORM_IRVING_1989,Irving,1989,7,Storm,Tropical cyclone,4,1,0,0,0,0,102,985,104,491,200000,472150.85,42.35934309
STORM_BRIAN_1989,Brian,1989,10,Storm,Tropical cyclone,4,1,0,0,0,0,140,970,53,762,150000,354113.14,42.35934309
STORM_CECIL_1989,Cecil,1989,5,Storm,Tropical cyclone,5,1,0,0,0,0,130,980,751,106,21000,49575.84,42.35934309
STORM_DOT(KURING)_1989,Dot(Kuring),1989,6,Storm,Tropical cyclone,3,1,0,,,,83,990,6,10,100000,236075.43,42.35934309
STORM_ANGELA_1989,Angela,1989,10,,,4,1,1,,,,150,925,9,300,100000,236075.43,42.35934309
STORM_DAN_1989,Dan,1989,10,,,4,1,1,,,,100,960,43,166,50000,118037.71,42.35934309
STORM_BECKY_1990,Becky,1990,8,Storm,Tropical cyclone,4,1,1,0,0,0,120,980,19,108,65000,145590.15,44.64587744
STORM_NELL_1990,Nell,1990,11,Storm,Tropical depression,6,1,1,0,0,0,64,1000,48,,10000,22398.48,44.64587744
STORM_IRA_1990,Ira,1990,10,Storm,Tropical depression,5,1,0,0,0,0,64,990,7,0,70000,156789.39,44.64587744
STORM_LOLA_1990,Lola,1990,10,Storm,Tropical depression,5,1,0,,,,74,998,23,,2100,4703.68,44.64587744
STORM_ED_1990,Ed,1990,9,Storm,Tropical cyclone,5,1,0,,,,130,970,18,,15000,33597.73,44.64587744
STORM_FRED_1991,Fred,1991,8,Storm,Tropical cyclone,4,1,0,0,0,0,139,980,17,16,9500,20414.03,46.53662061
STORM_NAN_1991,,1991,12,Storm,Storm (General),5,0,0,1,0,0,,,251,200,1000,2148.85,46.53662061
STORM_NAN_1991_2,,1991,3,Storm,Storm (General),5,0,0,0,0,0,,,8,,,,46.53662061
STORM_ZEKE_1991,Zeke,1991,7,Storm,Tropical cyclone,3,1,1,0,0,0,111,983,21,6,,,46.53662061
STORM_CHUCK_1992,Chuck,1992,6,Storm,Tropical cyclone,3,1,0,0,0,0,102,965,94,11,400,834.27,47.94612964
STORM_ANGELA_1992,Angela,1992,10,Storm,Tropical cyclone,6,1,0,0,0,0,74,992,47,17,18000,37542.13,47.94612964
STORM_KYLE_1993,Kyle,1993,11,Storm,Tropical cyclone,6,1,1,1,0,0,157,970,130,16,15000,30388.16,49.36133216
STORM_NAN_1993,,1993,3,Storm,Hail,1,0,0,0,0,0,,,3,16,,,49.36133216
STORM_LOLA_1993,Lola,1993,12,Storm,Tropical cyclone,5,1,0,1,0,0,175,969,73,20,50000,101293.86,49.36133216
STORM_LEWIS_1993,Lewis,1993,7,Storm,Tropical cyclone,4,1,1,,,,100,985,2,2,,,49.36133216
STORM_LUKE_1994,Luke,1994,9,Storm,Tropical cyclone,4,1,0,0,0,0,55,990,30,,45000,88847.82,50.64840266
STORM_ZACK_1995,Zack,1995,11,Storm,Tropical cyclone,5,1,1,0,0,0,129,974,27,173,21200,40714.97,52.06929869
STORM_LOUIS_1995,Louis,1995,8,Storm,Tropical cyclone,4,1,0,,,,120,990,0,0,2350,4513.22,52.06929869
STORM_16W_1995,16W,1995,9,Storm,Tropical depression,5,1,0,,,,46,1000,0,0,0,0,52.06929869
STORM_FRANKIE _1996,Frankie,1996,7,Storm,Tropical cyclone,4,1,1,1,0,0,166,981,100,591,200000,373165.23,53.59556085
STORM_SALLY_1996,Sally,1996,9,Storm,Tropical cyclone,1,1,1,0,0,0,92,940,1,,20,37.32,53.59556085
STORM_WILLIE_1996,Willie,1996,9,Storm,Tropical cyclone,4,1,0,0,0,0,111,985,9,29,11000,20524.09,53.59556085
STORM_NIKI_1996,Niki,1996,8,Storm,Tropical cyclone,4,1,1,0,0,0,120,979,61,161,66000,123144.53,53.59556085
STORM_ERNIE_1996,Ernie,1996,11,Storm,Tropical cyclone,8,1,0,,,,55,,,,,,53.59556085
STORM_MARTY_1996,Marty,1996,8,Storm,Tropical cyclone,3,1,0,,,,92,998,225,,,,53.59556085
STORM_ZITA_1997,Zita,1997,8,Storm,Tropical cyclone,1,1,0,0,0,0,138,990,,,5000,9116.03,54.84845417
STORM_LINDA_1997,Linda,1997,11,Storm,Tropical cyclone,8,1,1,1,0,0,120,985,3682,857,470000,856906.56,54.84845417
STORM_FRITZ_1997,Fritz,1997,9,Storm,Tropical cyclone,5,1,1,0,0,0,138,987,10,50,5000,9116.03,54.84845417
STORM_HANK_1997,Hank,1997,10,Storm,Tropical cyclone,4,1,1,,,,46,,,,,,54.84845417
STORM_CHIP_1998,Chip,1998,11,Storm,Tropical cyclone,7,1,0,1,0,0,92,994,17,,923,1657.1,55.69986281
STORM_ELVIS_1998,Elvis,1998,11,Storm,Tropical cyclone,5,1,1,1,1,0,64,998,187,,28000,50269.42,55.69986281
STORM_DAWN_1998,Dawn,1998,11,Storm,Tropical cyclone,5,1,1,1,1,0,75,992,49,92,30000,53860.1,55.69986281
STORM_FAITH_1998,Faith,1998,12,Storm,Tropical cyclone,5,1,0,1,1,0,120,970,38,,20000,35906.73,55.69986281
STORM_GIL_1998,Gil,1998,12,Storm,Tropical cyclone,8,1,0,1,1,0,65,992,0,0,,,55.69986281
STORM_NAN_1999,,1999,6,Storm,Tornado,1,0,0,0,0,0,,,10,0,,,56.91858704
STORM_EVE_1999,Eve,1999,10,Storm,Tropical cyclone,4,1,1,1,1,,65,990,622,,235000,412870.4,56.91858704
STORM_NAN_2000,,2000,6,Storm,Storm (General),3,0,0,1,1,0,,,3,29,,,58.84064849
STORM_NAN_2000_2,,2000,7,Storm,Storm (General),8,0,0,0,0,0,65,,0,0,,,58.84064849
STORM_KAEMI_2000,Kaemi,2000,8,Storm,Tropical cyclone,5,1,1,0,0,0,83,985,15,4,5000,8497.53,58.84064849
STORM_NAN_2000_3,,2000,8,Storm,Storm (General),6,0,0,0,0,0,,,1,77,,,58.84064849
STORM_NAN_2000_4,,2000,8,Storm,Storm (General),8,0,0,0,0,0,70,,3,3,35,59.48,58.84064849
STORM_WUKONG_2000,Wukong,2000,9,Storm,Tropical cyclone,4,1,0,0,0,0,111,955,5,29,21000,35689.61,58.84064849
STORM_DURIAN_2001,Durian,2001,7,Storm,Tropical cyclone,1,1,0,0,0,0,55,1000,30,3,25000,41319.87,60.50357889
STORM_USAGI_2001,Usagi,2001,8,Storm,Tropical cyclone,4,1,0,0,0,0,74,994,3,3,3200,5288.94,60.50357889
STORM_LINGLING(NANANG)_2001,Lingling(Nanang),2001,11,Storm,Tropical cyclone,5,1,1,0,0,0,175,949,20,83,55000,90903.71,60.50357889
STORM_FITOW_2001,Fitow,2001,9,Storm,Tropical cyclone,4,1,0,,,,35,1003,,,,,60.50357889
STORM_NAN_2002,,2002,10,Storm,Lightning/Thunderstorms,7,0,0,0,0,0,,,0,0,100,162.7,61.46318826
STORM_KONI_2003,Koni,2003,7,Storm,Tropical cyclone,3,1,0,0,0,0,101,984,3,18,1000,1590.88,62.8584595
STORM_KROVANH_2003,Krovanh,2003,8,Storm,Tropical cyclone,1,1,0,,,,167,954,1,5,3200,5090.8,62.8584595
STORM_CHANTHU_2004,Chanthu,2004,6,Storm,Tropical cyclone,5,1,1,0,0,0,129,976,14,5,7000,10845.76,64.54132928
STORM_MUIFA_2004,Muifa,2004,11,Storm,Tropical cyclone,5,1,1,0,0,0,166,958,56,,23000,35636.08,64.54132928
STORM_NAN_2005,,2005,8,Storm,Storm (General),4,1,0,0,0,0,,,13,,,,66.73105799
STORM_VICENTE_2005,Vicente,2005,9,Storm,Tropical cyclone,4,1,0,0,0,0,92,987,8,,20000,29971.05,66.73105799
STORM_DAMREY_2005,Damrey,2005,9,Storm,Tropical cyclone,5,1,1,1,0,0,92,987,75,28,219250,328557.66,66.73105799
STORM_KAITAK _2005,KaiTak,2005,11,Storm,Tropical cyclone,5,1,0,0,0,0,111,980,20,14,11000,16484.08,66.73105799
STORM_WASHI_2005,Washi,2005,7,Storm,Tropical cyclone,4,1,0,,,,65,997,,,,,66.73105799
STORM_NAN_2006,,2006,4,Storm,Storm (General),2,0,0,0,0,0,,,1,5,,,68.88375871
STORM_BILIS_2006,Bilis,2006,7,Storm,Tropical cyclone,1,1,1,0,0,0,35,1000,17,,,,68.88375871
STORM_XANGSANE(MILENYO)_2006,Xangsane(Milenyo),2006,9,Storm,Tropical cyclone,5,1,1,0,0,0,157,958,71,525,624000,905873.91,68.88375871
STORM_DURIAN(REMING)_2006,Durian(Reming),2006,11,Storm,Tropical cyclone,7,1,1,0,0,0,101,976,95,1360,456000,661984.78,68.88375871
STORM_NAN_2006_2,,2006,11,Storm,Hail,1,0,1,0,0,0,,,13,,10000,14517.21,68.88375871
STORM_LEKIMA(HANNA)_2007,Lekima(Hanna),2007,9,Storm,Tropical cyclone,4,1,0,1,0,0,129,970,96,150,191000,269588.22,70.8487927
STORM_PEIPAH_2007,Peipah,2007,11,Storm,Tropical cyclone,7,1,1,,,,37,1007,,,,,70.8487927
STORM_FRANCISCO_2007,Francisco,2007,5,Storm,Tropical cyclone,3,0,0,,,,37,1007,,,,,70.8487927
STORM_TORAJI_2007,Toraji,2007,7,Storm,Tropical cyclone,1,1,0,,,,55,996,,,100,141.15,70.8487927
STORM_06W_2007,06W,2007,8,,Tropical depression,4,1,0,,,,33,1000,77,123,155000,218775.78,70.8487927
STORM_KAMMURI(JULIAN)_2008,Kammuri(Julian),2008,8,Storm,Tropical cyclone,1,1,1,0,0,0,51,1004,162,90,120000,163112.74,73.56874554
STORM_HAGUPIT(NINA)_2008,Hagupit(Nina),2008,9,Storm,Tropical cyclone,1,1,1,0,0,0,55,1000,46,61,63000,85634.19,73.56874554
STORM_MEKKHALA_2008,Mekkhala,2008,9,Storm,Tropical cyclone,4,1,0,0,0,0,101,982,18,,6500,8835.27,73.56874554
STORM_NOUL_2008,Noul,2008,11,Storm,Tropical cyclone,5,1,0,0,0,0,40,993,17,8,1000,1359.27,73.56874554
STORM_18W_2008,18W,2008,9,Storm,Tropical depression,4,1,0,,,,55,996,22,6,18700,25418.4,73.56874554
STORM_ONDOY(KETSANA)_2009,Ondoy(Ketsana),2009,9,Storm,Tropical cyclone,5,1,1,1,0,0,166,956,182,860,785000,1070836.49,73.30717672
STORM_PEPENG(PARMA)_2009,Pepeng(Parma),2009,10,Storm,Tropical cyclone,3,0,0,0,0,0,101,996,,,200,272.82,73.30717672
STORM_MIRINAE(SANTI)_2009,Mirinae(Santi),2009,11,Storm,Tropical cyclone,5,1,0,0,0,0,120,974,124,145,280000,381954.42,73.30717672
STORM_MUJIGAE_2009,Mujigae,2009,9,Storm,Tropical depression,4,1,0,,,,46,1004,,,,,73.30717672
STORM_SOUDELOR_2009,Soudelor,2009,7,Storm,Tropical cyclone,3,1,0,,,,37,1007,2,,3980,5429.21,73.30717672
STORM_TD_20_2009,TD_20,2009,9,Storm,Tropical depression,5,1,0,,,,45,1000,9,,2520,3437.59,73.30717672
STORM_CONSON(BASYANG)_2010,Conson(Basyang),2010,7,Storm,Tropical cyclone,4,1,0,0,0,0,83,989,11,,500,671.06,74.50944408
STORM_CHANTHU_2010,Chanthu,2010,7,Storm,Tropical cyclone,1,1,1,0,0,0,46,1007,10,3,15000,20131.68,74.50944408
STORM_MINDULLE_2010,Mindulle,2010,8,Storm,Tropical cyclone,4,1,0,0,0,0,111,989,14,20,44000,59052.92,74.50944408
STORM_01W_2010,01W,2010,1,Storm,Tropical depression,7,0,0,,,,,,3,,243,326.13,74.50944408
STORM_NAN_2011,,2011,6,Storm,Lightning/Thunderstorms,3,1,0,0,0,0,,,16,63,,,76.86159538
STORM_HAIMA(EGAY)_2011,Haima(Egay),2011,6,Storm,Tropical cyclone,3,1,0,0,0,0,64,996,13,80,12680,16497.19,76.86159538
STORM_NESAT_2011,Nesat,2011,9,Storm,Tropical cyclone,3,1,1,,,,111,978,,,,,76.86159538
STORM_HAITANG_2011,Haitang,2011,9,Storm,Tropical cyclone,4,1,0,,,,37,1007,25,,5640,7337.86,76.86159538
STORM_NOCKTEN_2011,Nock-Ten,2011,7,Storm,Tropical cyclone,4,1,1,,,,65,996,20,,,,76.86159538
STORM_KAI-TAK_2012,Kai-Tak,2012,8,Storm,Tropical cyclone,1,1,1,0,0,0,111,978,4,15,29900,38112.42,78.45211388
STORM_SONTINH(OFEL)_2012,SonTinh(Ofel),2012,10,Storm,Tropical cyclone,4,1,1,0,0,0,166,956,11,90,336000,428286.74,78.45211388
STORM_GAEMI_2012,Gaemi,2012,10,Storm,Tropical cyclone,6,1,0,,,,65,996,,,,,78.45211388
STORM_PAKHAR_2012,Pakhar,2012,4,Storm,Tropical cyclone,7,1,0,,,,74,998,9,,48100,61311.29,78.45211388
STORM_JEBI_2013,Jebi,2013,8,Storm,Tropical cyclone,3,1,0,0,0,0,92,985,7,11,1000,1256.26,79.60130942
STORM_WUTIP _2013,Wutip,2013,9,Storm,Tropical cyclone,4,1,0,0,0,0,176,952,31,330,663230,833189.81,79.60130942
STORM_NARI(SANTI)_2013,Nari(SAnti),2013,10,Storm,Tropical cyclone,5,1,1,0,0,0,139,967,20,154,76000,95475.82,79.60130942
STORM_HAIYAN(YOLANDA)_2013,Haiyan(Yolanda),2013,11,Storm,Tropical cyclone,5,1,1,0,0,0,130,970,16,89,734000,922095.38,79.60130942
STORM_BEBINCA_2013,Bebinca,2013,6,Storm,Tropical cyclone,3,1,0,,,,37,1007,3,1,56500,70978.73,79.60130942
