,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
48,STORM_FAITH_1998,Faith,1998,12,Storm,Tropical cyclone,5,1,0,0,0,0,120,970,38,,20000,26930,55.7
49,STORM_GIL_1998,Gil,1998,12,Storm,Tropical cyclone,8,0,0,0,0,0,65,992,0,0,,,55.7
50,STORM_NAN_1999,,1999,6,Storm,Tornado,1,0,0,0,0,0,,,10,0,,,56.92
51,STORM_NAN_2000,,2000,6,Storm,Storm (General),3,0,0,0,0,0,,,3,29,,,58.84
52,STORM_NAN_2000_2,,2000,7,Storm,Storm (General),8,0,0,0,0,0,65,,0,0,,,58.84
53,STORM_KAEMI_2000,Kaemi,2000,8,Storm,Tropical cyclone,5,0,0,0,0,0,83,985,15,4,5000,8498,58.84
54,STORM_NAN_2000_3,,2000,8,Storm,Storm (General),6,0,0,0,0,0,,,1,77,,,58.84
55,STORM_NAN_2000_4,,2000,8,Storm,Storm (General),8,0,0,0,0,0,70,,3,3,35,59,58.84
56,STORM_WUKONG_2000,Wukong,2000,9,Storm,Tropical cyclone,4,0,0,0,0,0,111,955,5,29,21000,35690,58.84
57,STORM_DURIAN_2001,Durian,2001,7,Storm,Tropical cyclone,1,0,0,0,0,0,55,1000,30,3,25000,41320,60.5
58,STORM_USAGI_2001,Usagi,2001,8,Storm,Tropical cyclone,4,0,0,0,0,0,74,994,3,3,3200,5289,60.5
59,STORM_LINGLING(NANANG)_2001,Lingling(Nanang),2001,11,Storm,Tropical cyclone,5,0,0,0,0,0,175,949,20,83,55000,90904,60.5
60,STORM_NAN_2002,,2002,10,Storm,Lightning/Thunderstorms,7,0,0,0,0,0,,,0,0,100,163,61.46
61,STORM_KONI_2003,Koni,2003,7,Storm,Tropical cyclone,3,0,0,0,0,0,101,984,3,18,,,62.86
62,STORM_CHANTHU_2004,Chanthu,2004,6,Storm,Tropical cyclone,5,0,0,0,0,0,129,976,14,5,7000,10846,64.54
63,STORM_MUIFA_2004,Muifa,2004,11,Storm,Tropical cyclone,5,1,1,0,0,0,166,958,56,,23000,35636,64.54
64,STORM_NAN_2005,,2005,8,Storm,Storm (General),4,1,0,0,0,0,,,13,,,,66.73
65,STORM_VICENTE_2005,Vicente,2005,9,Storm,Tropical cyclone,4,0,0,0,0,0,92,987,8,,20000,29971,66.73
66,STORM_DAMREY_2005,Damrey,2005,9,Storm,Tropical cyclone,5,1,1,1,0,0,92,987,75,28,219250,328558,66.73
67,STORM_KAITAK _2005,KaiTak,2005,11,Storm,Tropical cyclone,5,0,0,0,0,0,111,980,20,,11000,16484,66.73
68,STORM_NAN_2006,,2006,4,Storm,Storm (General),2,0,0,0,0,0,,,1,5,,,68.88
69,STORM_BILIS_2006,Bilis,2006,7,Storm,Tropical cyclone,1,1,1,0,0,0,35,1000,17,,,,68.88
70,STORM_XANGSANE(MILENYO)_2006,Xangsane(Milenyo),2006,9,Storm,Tropical cyclone,5,0,0,0,0,0,157,958,71,525,624000,905874,68.88
71,STORM_DURIAN(REMING)_2006,Durian(Reming),2006,11,Storm,Tropical cyclone,7,1,0,0,0,0,101,976,95,1360,456000,661985,68.88
72,STORM_NAN_2006_2,,2006,11,Storm,Hail,1,0,0,0,0,0,,,13,,10000,14517,68.88
