,ID,EventName,Year,Month,DisasterType,DisasterSubtype,MainLandfallLocation,Flood,Slide,OFDAResponse,Appeal,Declaration,LandfallMagnitude(kph),LandfallPressure(mb),TotalDeaths,NoInjured,TotalDamage(000US$),TotalDamageAdjusted(000US$),CPI
32,STORM_TESS_1985,Tess,1987,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,45.0,980.0,37.0,146.0,11000.0,28331.82,38.82560081
33,STORM_PAT_1987,Pat,1987,10.0,Storm,Tropical cyclone,Red River Delta,1.0,1.0,0.0,0.0,0.0,70.0,980.0,90.0,146.0,20000.0,51512.4,38.82560081
34,STORM_NAN_1988,,1988,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,137.0,146.0,89730.0,139143.0,40.40880605
35,STORM_NAN_1988_2,,1988,11.0,Storm,Tropical cyclone,SouthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,20.0,146.0,89730.0,139143.0,40.40880605
36,STORM_IRVING_1989,Irving,1989,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,102.0,985.0,104.0,491.0,200000.0,472150.85,42.35934309
37,STORM_BRIAN_1989,Brian,1989,10.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,140.0,970.0,53.0,762.0,150000.0,354113.14,42.35934309
38,STORM_CECIL_1989,Cecil,1989,5.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,130.0,980.0,751.0,106.0,21000.0,49575.84,42.35934309
39,STORM_DOT(KURING)_1989,Dot(Kuring),1989,6.0,Storm,Tropical cyclone,Red River Delta,1.0,0.0,0.0,0.0,0.0,83.0,990.0,6.0,10.0,100000.0,236075.43,42.35934309
40,STORM_ANGELA_1989,Angela,1989,10.0,,,North Central Coast,,,0.0,0.0,0.0,150.0,925.0,9.0,300.0,100000.0,236075.43,42.35934309
41,STORM_DAN_1989,Dan,1989,10.0,,,North Central Coast,,,0.0,0.0,0.0,100.0,960.0,43.0,166.0,50000.0,118037.71,42.35934309
42,STORM_BECKY_1990,Becky,1990,8.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,120.0,980.0,19.0,108.0,65000.0,145590.15,44.64587744
43,STORM_NELL_1990,Nell,1990,11.0,Storm,Tropical depression,Central Highlands,0.0,0.0,0.0,0.0,0.0,64.0,1000.0,48.0,146.0,10000.0,22398.48,44.64587744
44,STORM_IRA_1990,Ira,1990,10.0,Storm,Tropical depression,South Central Coast,1.0,0.0,0.0,0.0,0.0,64.0,990.0,7.0,0.0,70000.0,156789.39,44.64587744
45,STORM_LOLA_1990,Lola,1990,10.0,Storm,Tropical depression,South Central Coast,1.0,0.0,0.0,0.0,0.0,74.0,998.0,23.0,146.0,2100.0,4703.68,44.64587744
46,STORM_ED_1990,Ed,1990,9.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,130.0,970.0,18.0,146.0,15000.0,33597.73,44.64587744
47,STORM_FRED_1991,Fred,1991,8.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,139.0,980.0,17.0,16.0,9500.0,20414.03,46.53662061
48,STORM_NAN_1991,,1991,12.0,Storm,Storm (General),South Central Coast,0.0,0.0,1.0,0.0,0.0,93.0,985.0,251.0,200.0,1000.0,2148.85,46.53662061
49,STORM_NAN_1991_2,,1991,3.0,Storm,Storm (General),South Central Coast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,8.0,146.0,89730.0,139143.0,46.53662061
50,STORM_ZEKE_1991,Zeke,1991,7.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,111.0,983.0,21.0,6.0,89730.0,139143.0,46.53662061
51,STORM_CHUCK_1992,Chuck,1992,6.0,Storm,Tropical cyclone,Red River Delta,0.0,0.0,0.0,0.0,0.0,102.0,965.0,94.0,11.0,400.0,834.27,47.94612964
52,STORM_ANGELA_1992,Angela,1992,10.0,Storm,Tropical cyclone,Central Highlands,1.0,0.0,0.0,0.0,0.0,74.0,992.0,47.0,17.0,18000.0,37542.13,47.94612964
53,STORM_KYLE_1993,Kyle,1993,11.0,Storm,Tropical cyclone,Central Highlands,0.0,0.0,1.0,0.0,0.0,157.0,970.0,130.0,16.0,15000.0,30388.16,49.36133216
54,STORM_NAN_1993,,1993,3.0,Storm,Hail,NorthEast,0.0,0.0,0.0,0.0,0.0,93.0,985.0,3.0,16.0,89730.0,139143.0,49.36133216
55,STORM_LOLA_1993,Lola,1993,12.0,Storm,Tropical cyclone,South Central Coast,0.0,0.0,0.0,0.0,0.0,175.0,969.0,73.0,20.0,50000.0,101293.86,49.36133216
56,STORM_LEWIS_1993,Lewis,1993,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,100.0,985.0,2.0,2.0,89730.0,139143.0,49.36133216
57,STORM_LUKE_1994,Luke,1994,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,55.0,990.0,30.0,146.0,45000.0,88847.82,50.64840266
58,STORM_ZACK_1995,Zack,1995,11.0,Storm,Tropical cyclone,South Central Coast,1.0,0.0,0.0,0.0,0.0,129.0,974.0,27.0,173.0,21200.0,40714.97,52.06929869
59,STORM_LOUIS_1995,Louis,1995,8.0,Storm,Tropical cyclone,North Central Coast,1.0,0.0,0.0,0.0,0.0,120.0,990.0,0.0,0.0,2350.0,4513.22,52.06929869
60,STORM_16W_1995,16W,1995,9.0,Storm,Tropical depression,South Central Coast,0.0,0.0,0.0,0.0,0.0,46.0,1000.0,0.0,0.0,0.0,0.0,52.06929869
61,STORM_FRANKIE _1996,Frankie,1996,7.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,1.0,0.0,0.0,166.0,981.0,100.0,591.0,200000.0,373165.23,53.59556085
62,STORM_SALLY_1996,Sally,1996,9.0,Storm,Tropical cyclone,NorthEast,0.0,0.0,0.0,0.0,0.0,92.0,940.0,1.0,146.0,20.0,37.32,53.59556085
63,STORM_WILLIE_1996,Willie,1996,9.0,Storm,Tropical cyclone,North Central Coast,0.0,0.0,0.0,0.0,0.0,111.0,985.0,9.0,29.0,11000.0,20524.09,53.59556085
